speed_kmh,steer_deg_sw,steer_deg_wheel,straight_dist_m,avoidance_success,outcome,min_clearance_m,max_lat_dev_m,lat_at_obstacle_m,pd_start_dist_m,lane_start_dist_m,total_dist_m
10,-50,-3.33,30,0,CLIFF_EVADE,7.763,7.526,-7.526,N/A,N/A,55.8
10,-45,-3.0,30,0,CLIFF_EVADE,6.789,7.514,-7.514,N/A,N/A,57.2
10,-40,-2.67,30,0,CLIFF_EVADE,5.801,7.517,-7.517,N/A,N/A,58.8
10,-35,-2.33,30,0,CLIFF_PD_RETURN,4.831,7.516,-7.516,60.0,N/A,60.9
10,-30,-2.0,30,1,SUCCESS,3.66,6.697,-6.665,60.0,65.3,108.6
10,-25,-1.67,30,1,SUCCESS,2.538,5.574,-5.543,60.0,65.1,106.2
10,-20,-1.33,30,1,SUCCESS,1.426,4.458,-4.43,60.0,64.7,103.4
20,-85,-5.67,20,0,CLIFF_EVADE,22.003,7.569,-7.569,N/A,N/A,40.2
20,-80,-5.33,20,0,CLIFF_EVADE,21.395,7.548,-7.548,N/A,N/A,40.8
20,-75,-5.0,20,0,CLIFF_EVADE,20.707,7.563,-7.563,N/A,N/A,41.4
20,-70,-4.67,20,0,CLIFF_EVADE,19.988,7.531,-7.531,N/A,N/A,42.1
20,-65,-4.33,20,0,CLIFF_EVADE,19.179,7.52,-7.52,N/A,N/A,42.9
20,-60,-4.0,20,0,CLIFF_EVADE,18.274,7.517,-7.517,N/A,N/A,43.8
20,-55,-3.67,20,0,CLIFF_EVADE,17.265,7.509,-7.509,N/A,N/A,44.8
20,-50,-3.33,20,0,CLIFF_EVADE,16.085,7.542,-7.542,N/A,N/A,46.0
20,-45,-3.0,20,0,CLIFF_EVADE,14.784,7.529,-7.529,N/A,N/A,47.3
20,-40,-2.67,20,0,CLIFF_EVADE,13.293,7.503,-7.503,N/A,N/A,48.9
20,-35,-2.33,20,0,CLIFF_PD_RETURN,11.371,7.516,-7.516,50.1,N/A,51.0
20,-30,-2.0,20,1,SUCCESS,2.286,7.067,-5.815,50.1,58.9,104.0
20,-25,-1.67,20,1,SUCCESS,1.508,5.909,-4.82,50.1,58.6,101.7
20,-20,-1.33,20,1,SUCCESS,0.606,4.742,-3.778,50.1,58.0,98.9
20,-15,-1.0,20,0,COLLISION_LANE_RETURN,-0.03,3.565,-2.901,50.1,57.4,61.7
20,-10,-0.67,20,0,COLLISION_LANE_RETURN,-0.046,2.377,-2.05,50.1,56.6,60.0
20,-5,-0.33,20,0,COLLISION_LANE_RETURN,-0.028,1.182,-0.965,50.1,55.0,59.2
20,0,0.0,20,0,COLLISION_LANE_RETURN,-0.0,0.0,0.0,50.1,50.2,59.0
20,5,0.33,20,0,COLLISION_LANE_RETURN,-0.028,1.182,0.965,50.1,55.0,59.2
20,10,0.67,20,0,COLLISION_LANE_RETURN,-0.046,2.377,2.05,50.1,56.6,60.0
20,15,1.0,20,0,COLLISION_LANE_RETURN,-0.03,3.565,2.901,50.1,57.4,61.7
20,20,1.33,20,1,SUCCESS,0.606,4.742,3.778,50.1,58.0,98.9
20,25,1.67,20,1,SUCCESS,1.508,5.909,4.82,50.1,58.6,101.7
20,30,2.0,20,1,SUCCESS,2.286,7.067,5.815,50.1,58.9,104.0
20,35,2.33,20,0,CLIFF_PD_RETURN,11.371,7.516,7.516,50.1,N/A,51.0
20,40,2.67,20,0,CLIFF_EVADE,13.293,7.503,7.503,N/A,N/A,48.9
20,45,3.0,20,0,CLIFF_EVADE,14.784,7.529,7.529,N/A,N/A,47.3
20,50,3.33,20,0,CLIFF_EVADE,16.085,7.542,7.542,N/A,N/A,46.0
20,55,3.67,20,0,CLIFF_EVADE,17.265,7.509,7.509,N/A,N/A,44.8
20,60,4.0,20,0,CLIFF_EVADE,18.274,7.517,7.517,N/A,N/A,43.8
20,65,4.33,20,0,CLIFF_EVADE,19.179,7.52,7.52,N/A,N/A,42.9
20,70,4.67,20,0,CLIFF_EVADE,19.988,7.531,7.531,N/A,N/A,42.1
20,75,5.0,20,0,CLIFF_EVADE,20.707,7.563,7.563,N/A,N/A,41.4
20,80,5.33,20,0,CLIFF_EVADE,21.395,7.548,7.548,N/A,N/A,40.8
20,85,5.67,20,0,CLIFF_EVADE,22.003,7.569,7.569,N/A,N/A,40.2
20,90,6.0,20,0,CLIFF_EVADE,22.586,7.555,7.555,N/A,N/A,39.7
20,-90,-6.0,25,0,CLIFF_EVADE,17.862,7.555,-7.555,N/A,N/A,44.7
20,-85,-5.67,25,0,CLIFF_EVADE,17.294,7.569,-7.569,N/A,N/A,45.2
20,-80,-5.33,25,0,CLIFF_EVADE,16.701,7.548,-7.548,N/A,N/A,45.8
20,-75,-5.0,25,0,CLIFF_EVADE,16.035,7.563,-7.563,N/A,N/A,46.4
20,-70,-4.67,25,0,CLIFF_EVADE,15.337,7.531,-7.531,N/A,N/A,47.1
20,-65,-4.33,25,0,CLIFF_EVADE,14.557,7.52,-7.52,N/A,N/A,47.9
20,-60,-4.0,25,0,CLIFF_EVADE,13.69,7.517,-7.517,N/A,N/A,48.8
20,-55,-3.67,25,0,CLIFF_EVADE,12.73,7.509,-7.509,N/A,N/A,49.8
20,-50,-3.33,25,0,CLIFF_EVADE,11.626,7.542,-7.542,N/A,N/A,51.0
20,-45,-3.0,25,0,CLIFF_EVADE,10.422,7.529,-7.529,N/A,N/A,52.3
20,-40,-2.67,25,0,CLIFF_EVADE,9.076,7.503,-7.503,N/A,N/A,53.9
20,-35,-2.33,25,0,CLIFF_PD_RETURN,7.442,7.516,-7.516,55.1,N/A,56.0
