speed_kmh,straight_dist_m,min_steer_sw_deg,min_steer_wheel_deg,avoidable
10,N/A,10,0.67,0
10,N/A,15,1.0,1
10,N/A,20,1.33,1
10,N/A,25,1.67,1
10,N/A,30,2.0,1
10,N/A,35,2.33,0
10,N/A,40,2.67,0
10,N/A,45,3.0,0
10,N/A,50,3.33,0
10,N/A,55,3.67,0
10,N/A,60,4.0,0
10,N/A,65,4.33,0
10,N/A,70,4.67,0
10,N/A,75,5.0,0
10,N/A,80,5.33,0
10,N/A,85,5.67,0
10,N/A,90,6.0,0
20,N/A,5,0.33,0
20,N/A,10,0.67,0
20,N/A,15,1.0,1
20,N/A,20,1.33,1
20,N/A,25,1.67,1
20,N/A,30,2.0,1
20,N/A,35,2.33,0
20,N/A,40,2.67,0
20,N/A,45,3.0,0
20,N/A,50,3.33,0
20,N/A,55,3.67,0
20,N/A,60,4.0,0
20,N/A,65,4.33,0
20,N/A,70,4.67,0
20,N/A,75,5.0,0
20,N/A,80,5.33,0
20,N/A,85,5.67,0
20,N/A,90,6.0,0
30,N/A,5,0.33,0
30,N/A,10,0.67,0
30,N/A,15,1.0,1
30,N/A,20,1.33,1
30,N/A,25,1.67,1
30,N/A,30,2.0,1
30,N/A,35,2.33,0
30,N/A,40,2.67,0
30,N/A,45,3.0,0
30,N/A,50,3.33,0
30,N/A,55,3.67,0
30,N/A,60,4.0,0
30,N/A,65,4.33,0
30,N/A,70,4.67,0
30,N/A,75,5.0,0
30,N/A,80,5.33,0
30,N/A,85,5.67,0
30,N/A,90,6.0,0
40,N/A,5,0.33,0
40,N/A,10,0.67,0
40,N/A,15,1.0,1
40,N/A,20,1.33,1
40,N/A,25,1.67,1
40,N/A,30,2.0,0
40,N/A,35,2.33,0
40,N/A,40,2.67,0
40,N/A,45,3.0,0
40,N/A,50,3.33,0
40,N/A,55,3.67,0
40,N/A,60,4.0,0
40,N/A,65,4.33,0
40,N/A,70,4.67,0
40,N/A,75,5.0,0
40,N/A,80,5.33,0
40,N/A,85,5.67,0
40,N/A,90,6.0,0
50,N/A,5,0.33,0
50,N/A,10,0.67,0
50,N/A,15,1.0,1
50,N/A,20,1.33,1
50,N/A,25,1.67,1
50,N/A,30,2.0,0
50,N/A,35,2.33,0
50,N/A,40,2.67,0
50,N/A,45,3.0,0
50,N/A,50,3.33,0
50,N/A,55,3.67,0
50,N/A,60,4.0,0
50,N/A,65,4.33,0
50,N/A,70,4.67,0
50,N/A,75,5.0,0
50,N/A,80,5.33,0
50,N/A,85,5.67,0
50,N/A,90,6.0,0
60,N/A,5,0.33,0
60,N/A,10,0.67,0
60,N/A,15,1.0,1
60,N/A,20,1.33,1
60,N/A,25,1.67,1
60,N/A,30,2.0,0
60,N/A,35,2.33,0
60,N/A,40,2.67,0
60,N/A,45,3.0,0
60,N/A,50,3.33,0
60,N/A,55,3.67,0
60,N/A,60,4.0,0
60,N/A,65,4.33,0
60,N/A,70,4.67,0
60,N/A,75,5.0,0
60,N/A,80,5.33,0
60,N/A,85,5.67,0
60,N/A,90,6.0,0
70,N/A,5,0.33,0
70,N/A,10,0.67,1
70,N/A,15,1.0,1
70,N/A,20,1.33,1
70,N/A,25,1.67,0
70,N/A,30,2.0,0
70,N/A,35,2.33,0
70,N/A,40,2.67,0
70,N/A,45,3.0,0
70,N/A,50,3.33,0
70,N/A,55,3.67,0
70,N/A,60,4.0,0
70,N/A,65,4.33,0
70,N/A,70,4.67,0
70,N/A,75,5.0,0
70,N/A,80,5.33,0
70,N/A,85,5.67,0
70,N/A,90,6.0,0
80,N/A,5,0.33,0
80,N/A,10,0.67,1
80,N/A,15,1.0,1
80,N/A,20,1.33,1
80,N/A,25,1.67,0
80,N/A,30,2.0,0
80,N/A,35,2.33,0
80,N/A,40,2.67,0
80,N/A,45,3.0,0
80,N/A,50,3.33,0
80,N/A,55,3.67,0
80,N/A,60,4.0,0
80,N/A,65,4.33,0
80,N/A,70,4.67,0
80,N/A,75,5.0,0
80,N/A,80,5.33,0
80,N/A,85,5.67,0
80,N/A,90,6.0,0
90,N/A,5,0.33,0
90,N/A,10,0.67,1
90,N/A,15,1.0,1
90,N/A,20,1.33,1
90,N/A,25,1.67,0
90,N/A,30,2.0,0
90,N/A,35,2.33,0
90,N/A,40,2.67,0
90,N/A,45,3.0,0
90,N/A,50,3.33,0
90,N/A,55,3.67,0
90,N/A,60,4.0,0
90,N/A,65,4.33,0
90,N/A,70,4.67,0
90,N/A,75,5.0,0
90,N/A,80,5.33,0
90,N/A,85,5.67,0
90,N/A,90,6.0,0
100,N/A,5,0.33,0
100,N/A,10,0.67,1
100,N/A,15,1.0,1
100,N/A,20,1.33,1
100,N/A,25,1.67,0
100,N/A,30,2.0,0
100,N/A,35,2.33,0
100,N/A,40,2.67,0
100,N/A,45,3.0,0
100,N/A,50,3.33,0
100,N/A,55,3.67,0
100,N/A,60,4.0,0
100,N/A,65,4.33,0
100,N/A,70,4.67,0
100,N/A,75,5.0,0
100,N/A,80,5.33,0
100,N/A,85,5.67,0
100,N/A,90,6.0,0
110,N/A,5,0.33,0
110,N/A,10,0.67,1
110,N/A,15,1.0,1
110,N/A,20,1.33,1
110,N/A,25,1.67,0
110,N/A,30,2.0,0
110,N/A,35,2.33,0
110,N/A,40,2.67,0
110,N/A,45,3.0,0
110,N/A,50,3.33,0
110,N/A,55,3.67,0
110,N/A,60,4.0,0
110,N/A,65,4.33,0
110,N/A,70,4.67,0
110,N/A,75,5.0,0
110,N/A,80,5.33,0
110,N/A,85,5.67,0
110,N/A,90,6.0,0
120,N/A,5,0.33,0
120,N/A,10,0.67,1
120,N/A,15,1.0,1
120,N/A,20,1.33,0
120,N/A,25,1.67,0
120,N/A,30,2.0,0
120,N/A,35,2.33,0
120,N/A,40,2.67,0
120,N/A,45,3.0,0
120,N/A,50,3.33,0
120,N/A,55,3.67,0
120,N/A,60,4.0,0
120,N/A,65,4.33,0
120,N/A,70,4.67,0
120,N/A,75,5.0,0
120,N/A,80,5.33,0
120,N/A,85,5.67,0
120,N/A,90,6.0,0
